ruid,rid,start_date,end_date
121,190,10/20/2022,11/1/2022
122,58,12/9/2019,12/13/2019
123,371,2/11/2023,2/22/2023
124,63,4/20/2021,4/23/2021
125,62,9/5/2021,9/13/2021
126,355,3/4/2023,3/13/2023
127,5,12/14/2020,12/19/2020
128,319,5/16/2019,5/22/2019
129,162,11/10/2021,11/20/2021
130,63,11/27/2023,12/11/2023
131,425,6/4/2019,
132,36,8/17/2021,8/20/2021
133,381,1/6/2020,1/10/2020
134,150,2/18/2020,2/21/2020
135,342,6/3/2019,6/17/2019
136,,8/30/2022,9/10/2022
137,312,12/30/2023,1/7/2024
138,326,11/9/2019,11/22/2019
139,399,8/8/2022,8/15/2022
140,103,3/25/2023,4/3/2023
141,66,2/15/2021,2/26/2021
142,393,,3/24/2020
143,312,5/10/2022,5/24/2022
144,24,1/2/2020,1/13/2020
145,115,9/14/2022,9/22/2022
146,212,4/4/2022,4/14/2022
147,294,9/8/2022,9/11/2022
148,211,4/29/2023,5/5/2023
149,103,7/17/2021,7/27/2021
150,204,5/15/2019,5/23/2019
151,356,3/18/2023,3/28/2023
152,336,8/10/2020,8/13/2020
153,225,12/25/2022,1/4/2023
,102,2/15/2021,2/26/2021
155,419,9/28/2019,10/5/2019
156,397,6/30/2023,7/7/2023
157,177,5/17/2022,5/21/2022
158,,6/24/2019,7/6/2019
159,253,7/12/2021,7/22/2021
160,376,9/26/2022,10/3/2022
161,199,3/25/2021,4/2/2021
162,104,8/27/2020,9/9/2020
163,147,3/7/2019,3/12/2019
,193,11/25/2020,12/9/2020
165,368,12/22/2022,12/29/2022
166,30,10/18/2023,10/23/2023
167,288,7/5/2020,7/9/2020
168,92,6/13/2020,6/27/2020
169,64,5/18/2022,
170,404,10/16/2022,10/25/2022
171,89,2/10/2021,2/17/2021
172,416,10/28/2020,11/9/2020
173,,2/14/2019,2/26/2019
174,427,4/9/2022,4/21/2022
175,395,3/31/2019,4/12/2019
176,209,5/13/2023,5/19/2023
177,378,,1/23/2022
178,270,8/29/2022,9/10/2022
179,158,7/21/2022,7/24/2022
180,125,9/17/2023,9/20/2023
181,405,11/12/2019,11/24/2019
182,323,,12/21/2020
183,386,5/15/2019,5/23/2019
184,303,5/30/2023,6/9/2023
185,7,12/16/2023,12/20/2023
186,112,2/28/2023,3/14/2023
187,300,8/8/2022,8/15/2022
188,325,2/28/2019,3/3/2019
189,209,12/30/2019,1/9/2020
190,124,3/25/2023,4/8/2023
191,159,5/7/2021,5/15/2021
192,17,2/24/2022,3/10/2022
193,398,8/16/2019,8/21/2019
194,177,1/22/2019,1/28/2019
195,408,1/27/2019,2/4/2019
196,148,4/11/2021,4/14/2021
197,123,12/19/2020,12/25/2020
198,176,1/10/2021,1/16/2021
199,105,3/25/2022,4/8/2022
200,367,3/14/2023,3/17/2023
201,102,10/17/2023,10/20/2023
202,439,2/28/2022,3/10/2022
203,345,10/30/2021,11/10/2021
204,145,11/5/2020,
205,,5/6/2022,5/15/2022
206,272,8/16/2019,8/30/2019
207,151,,9/9/2023
208,145,3/10/2022,3/15/2022
209,,3/8/2023,3/17/2023
210,344,1/7/2024,1/14/2024
211,293,8/16/2019,8/27/2019
212,384,6/25/2020,7/4/2020
213,171,12/3/2022,12/12/2022
214,89,5/16/2019,5/24/2019
215,176,2/25/2020,3/6/2020
216,307,11/23/2022,12/2/2022
217,312,10/6/2019,10/17/2019
218,413,9/20/2020,9/29/2020
219,98,6/13/2019,6/26/2019
220,441,6/22/2021,7/6/2021
221,193,8/31/2023,9/9/2023
222,156,11/6/2021,
223,441,2/7/2019,2/20/2019
224,237,9/30/2021,10/3/2021
225,214,7/4/2022,7/8/2022
226,361,11/26/2021,11/29/2021
227,,7/5/2023,7/18/2023
228,,10/1/2023,10/5/2023
229,373,10/17/2021,10/20/2021
230,,4/4/2020,4/12/2020
231,79,6/28/2020,7/7/2020
232,16,8/9/2020,8/17/2020
233,48,12/28/2021,1/6/2022
234,171,9/5/2019,9/18/2019
235,115,2/22/2022,2/27/2022
236,148,,11/17/2019
237,382,7/20/2019,7/31/2019
238,74,6/26/2019,7/8/2019
239,387,6/23/2021,6/28/2021
240,46,7/15/2023,7/18/2023
241,74,11/5/2021,11/11/2021
242,347,7/3/2020,7/17/2020
243,255,7/21/2021,7/24/2021
244,351,9/3/2021,9/12/2021
245,117,7/1/2020,7/4/2020
246,90,5/25/2020,6/1/2020
247,251,12/5/2023,12/11/2023
248,131,6/14/2020,6/17/2020
249,357,10/5/2021,10/15/2021
250,415,9/14/2021,9/24/2021
251,275,6/3/2021,6/17/2021
,59,4/16/2023,4/22/2023
253,418,10/12/2020,10/16/2020
254,133,5/21/2023,5/30/2023
255,420,5/25/2019,5/29/2019
256,217,8/18/2023,
257,,5/19/2020,5/31/2020
258,395,1/28/2024,2/2/2024
259,245,1/2/2021,1/9/2021
260,319,1/15/2024,1/19/2024
261,25,6/4/2023,
262,261,7/15/2020,7/29/2020
263,,3/22/2023,4/1/2023
264,143,9/13/2023,9/26/2023
265,122,2/19/2021,2/25/2021
266,376,5/25/2019,
267,292,2/20/2020,3/2/2020
268,91,5/31/2021,6/10/2021
269,285,11/12/2019,11/24/2019
270,50,4/24/2022,5/2/2022
271,161,1/22/2023,2/4/2023
272,236,11/9/2021,11/12/2021
273,102,3/16/2020,3/26/2020
274,370,,12/18/2019
,275,10/14/2023,10/25/2023
276,190,12/28/2021,1/6/2022
277,191,1/23/2023,2/2/2023
278,436,9/30/2022,10/13/2022
279,147,10/18/2023,10/23/2023
280,197,12/14/2022,12/17/2022
281,396,9/24/2023,9/28/2023
282,423,9/9/2020,9/19/2020
283,130,10/31/2021,11/10/2021
284,2,3/17/2023,3/30/2023
285,450,10/25/2021,10/31/2021
286,213,8/20/2023,8/27/2023
287,390,6/12/2022,6/16/2022
288,252,7/6/2020,
289,211,10/26/2019,10/29/2019
290,315,11/9/2023,11/22/2023
291,417,12/15/2021,12/24/2021
292,318,7/1/2019,7/11/2019
293,415,3/12/2021,3/15/2021
294,22,7/3/2023,7/15/2023
295,385,2/1/2022,2/6/2022
296,340,7/24/2019,
297,107,5/24/2022,5/29/2022
298,128,4/28/2019,5/6/2019
299,225,10/28/2020,11/9/2020
300,396,2/7/2024,2/21/2024
301,113,12/26/2019,12/29/2019
302,41,9/5/2019,9/18/2019
303,184,10/18/2023,10/30/2023
304,418,10/19/2020,11/1/2020
305,137,12/21/2021,1/4/2022
306,96,12/14/2023,12/17/2023
307,96,1/17/2021,1/22/2021
308,169,,3/2/2023
309,267,8/18/2023,8/27/2023
310,410,3/17/2019,3/20/2019
,208,2/22/2020,2/28/2020
312,218,11/17/2019,11/20/2019
313,45,3/14/2021,3/24/2021
314,10,5/20/2019,5/23/2019
315,64,7/31/2020,8/12/2020
316,317,10/13/2019,10/22/2019
317,331,8/4/2021,8/17/2021
318,107,5/4/2022,5/18/2022
,17,1/1/2021,1/14/2021
320,334,1/2/2024,1/8/2024
321,444,1/29/2020,2/6/2020
322,440,10/11/2019,10/24/2019
323,287,1/25/2023,1/30/2023
324,187,11/9/2020,11/12/2020
325,340,,9/15/2021
326,340,8/30/2019,9/12/2019
327,334,11/1/2019,11/4/2019
328,94,12/10/2022,12/19/2022
329,133,5/10/2020,5/21/2020
330,405,5/24/2019,5/30/2019
331,368,3/7/2021,3/18/2021
332,222,3/29/2022,4/1/2022
333,360,9/5/2022,9/12/2022
334,378,7/7/2021,
335,26,7/10/2019,7/19/2019
336,412,1/27/2024,2/2/2024
337,,9/14/2022,9/22/2022
338,226,2/23/2020,2/27/2020
339,271,7/31/2019,8/8/2019
340,449,6/4/2020,6/16/2020
341,69,5/20/2023,5/29/2023
342,207,12/3/2021,12/17/2021
343,309,5/18/2020,5/22/2020
344,40,8/29/2021,9/9/2021
345,11,9/7/2023,9/13/2023
346,301,,5/4/2023
347,384,7/15/2021,7/27/2021
348,313,4/17/2021,5/1/2021
349,98,3/24/2019,4/3/2019
350,42,,6/1/2021
351,388,6/30/2020,7/12/2020
352,133,4/7/2022,4/14/2022
353,360,3/30/2021,4/6/2021
354,223,4/2/2020,4/10/2020
,253,1/12/2020,1/23/2020
356,386,9/14/2020,9/21/2020
357,1,2/27/2021,3/3/2021
358,,11/13/2020,11/16/2020
359,384,12/22/2022,12/29/2022
360,191,5/25/2020,6/1/2020
361,169,2/3/2024,2/10/2024
362,272,10/1/2019,
363,393,2/14/2022,2/19/2022
364,151,3/14/2019,3/27/2019
365,422,7/8/2022,7/12/2022
366,99,12/3/2022,12/12/2022
367,140,11/23/2022,12/2/2022
368,259,8/24/2019,
,186,8/25/2022,9/2/2022
370,337,7/25/2021,
371,330,3/13/2021,3/18/2021
372,379,11/29/2022,12/13/2022
373,86,9/30/2023,10/13/2023
374,39,2/18/2022,2/21/2022
375,276,6/11/2020,6/17/2020
376,177,11/19/2020,11/23/2020
377,380,12/22/2021,12/28/2021
378,360,6/27/2019,7/10/2019
379,433,2/9/2022,2/12/2022
380,219,1/27/2019,2/4/2019
381,47,9/21/2022,9/28/2022
382,341,9/3/2019,9/9/2019
383,65,11/29/2020,12/6/2020
384,427,1/8/2023,1/20/2023
385,366,10/19/2019,10/24/2019
386,241,8/24/2019,8/28/2019
387,161,4/24/2022,5/7/2022
388,128,,11/15/2020
389,13,5/22/2021,6/4/2021
390,412,7/22/2023,7/27/2023
391,1,9/10/2022,9/15/2022
392,354,2/15/2020,2/18/2020
393,,8/17/2023,8/23/2023
394,253,8/24/2020,9/3/2020
395,309,3/22/2021,3/31/2021
396,270,1/15/2019,1/22/2019
397,6,2/7/2020,2/12/2020
398,91,6/14/2020,6/26/2020
,408,6/4/2019,6/14/2019
400,,3/13/2021,3/18/2021
401,126,4/13/2020,4/20/2020
402,19,2/9/2022,2/12/2022
,280,12/29/2020,1/3/2021
404,356,1/6/2020,1/10/2020
405,13,10/19/2019,10/22/2019
406,116,9/1/2021,9/8/2021
407,55,2/9/2022,2/18/2022
408,361,,5/16/2023
409,381,1/15/2019,1/20/2019
410,245,9/3/2020,9/9/2020
411,384,7/11/2022,7/24/2022
412,118,7/14/2022,7/24/2022
413,415,5/4/2021,5/18/2021
414,399,12/9/2019,12/13/2019
415,163,5/16/2019,5/24/2019
416,417,1/15/2019,
417,177,12/17/2023,12/25/2023
418,355,7/15/2023,
419,145,2/13/2022,2/16/2022
420,383,5/12/2021,5/21/2021
421,324,8/20/2023,8/29/2023
422,50,5/2/2022,5/11/2022
423,190,2/10/2021,2/17/2021
424,393,5/12/2021,5/21/2021
425,,6/23/2021,6/28/2021
426,65,4/19/2021,4/22/2021
427,275,2/2/2019,2/13/2019
428,397,9/29/2019,10/12/2019
,65,5/10/2020,5/21/2020
430,143,11/5/2021,11/10/2021
,129,11/2/2022,11/9/2022
432,59,6/30/2020,7/11/2020
433,432,6/21/2019,6/27/2019
434,285,11/12/2021,11/26/2021
435,280,1/11/2019,1/16/2019
436,226,2/15/2021,2/26/2021
437,242,4/23/2020,
438,368,9/16/2019,9/25/2019
439,219,11/3/2021,
440,422,2/5/2021,2/11/2021
441,43,10/1/2019,10/6/2019
442,297,9/17/2021,9/28/2021
443,10,,10/30/2023
444,221,3/18/2023,
445,359,1/26/2019,2/8/2019
446,80,9/30/2022,10/13/2022
447,119,9/3/2021,9/15/2021
448,149,5/2/2023,5/16/2023
,229,6/19/2021,6/28/2021
450,246,2/21/2022,3/2/2022
451,154,9/2/2020,9/9/2020
452,283,2/15/2020,2/18/2020
453,203,6/1/2023,6/5/2023
454,386,8/18/2023,8/27/2023
455,,8/25/2021,8/28/2021
456,422,6/28/2019,
457,316,4/4/2022,4/14/2022
,10,9/9/2021,9/23/2021
459,31,6/18/2023,6/30/2023
460,296,3/25/2019,4/4/2019
461,388,3/26/2020,4/9/2020
,175,2/3/2020,2/8/2020
463,93,10/5/2021,10/15/2021
464,61,4/24/2023,5/3/2023
465,,7/15/2023,7/19/2023
466,,5/29/2019,6/11/2019
467,69,12/19/2020,12/25/2020
468,425,3/14/2023,3/17/2023
469,253,4/1/2020,4/4/2020
470,134,6/19/2020,7/3/2020
471,401,11/27/2019,12/4/2019
472,243,3/18/2023,3/22/2023
473,378,6/23/2021,6/28/2021
474,251,4/18/2022,4/21/2022
475,193,11/2/2020,11/8/2020
476,397,12/28/2022,1/10/2023
477,376,2/27/2023,3/12/2023
478,13,,6/4/2019
479,425,2/3/2020,2/8/2020
480,372,9/30/2023,10/12/2023
481,301,7/25/2021,7/30/2021
482,146,9/3/2020,9/16/2020
483,173,,8/15/2022
484,225,2/26/2019,3/10/2019
485,155,11/28/2019,12/7/2019
486,149,3/19/2023,4/2/2023
487,375,1/27/2020,1/30/2020
488,230,2/22/2023,2/27/2023
489,243,6/19/2020,6/23/2020
490,371,7/8/2019,7/12/2019
491,144,3/7/2019,3/12/2019
492,20,8/17/2022,8/22/2022
493,17,,3/30/2020
494,400,6/23/2021,6/28/2021
495,294,6/27/2020,7/3/2020
496,94,11/10/2023,11/14/2023
497,256,5/16/2019,5/30/2019
498,123,10/1/2023,10/5/2023
499,443,4/18/2020,4/26/2020
500,143,3/2/2021,3/6/2021
501,338,5/4/2022,5/18/2022
502,338,2/3/2024,2/15/2024
503,393,12/8/2021,
504,378,1/23/2020,1/30/2020
505,354,3/12/2021,3/23/2021
506,302,4/28/2020,5/3/2020
507,396,2/11/2023,2/22/2023
508,216,9/8/2022,9/11/2022
,221,9/24/2020,10/6/2020
510,298,8/30/2019,9/12/2019
511,1,3/12/2020,3/22/2020
512,192,9/6/2019,9/14/2019
513,132,6/17/2021,6/28/2021
514,,3/13/2021,3/17/2021
515,56,9/10/2021,9/15/2021
516,227,9/2/2020,9/9/2020
517,145,3/7/2019,3/17/2019
518,,9/17/2021,9/29/2021
519,419,1/4/2024,1/11/2024
520,369,8/17/2020,8/31/2020
521,139,4/10/2019,4/16/2019
522,299,,11/1/2019
523,281,6/8/2022,6/18/2022
524,415,11/30/2022,12/9/2022
525,240,9/14/2022,9/22/2022
526,,7/20/2021,7/24/2021
527,414,2/15/2022,3/1/2022
528,188,12/21/2019,12/24/2019
529,360,6/26/2019,7/8/2019
530,51,8/16/2019,8/24/2019
531,73,1/2/2021,1/9/2021
532,344,9/10/2019,9/18/2019
533,112,1/25/2023,2/5/2023
534,236,11/20/2020,
535,218,12/14/2019,12/18/2019
536,58,1/20/2022,1/28/2022
537,341,3/7/2021,3/18/2021
538,219,12/19/2023,12/22/2023
539,369,2/2/2019,2/13/2019
540,417,,7/14/2021
541,279,1/29/2022,2/11/2022
542,337,3/29/2021,4/6/2021
543,181,8/12/2022,8/23/2022
544,270,11/27/2022,12/7/2022
545,397,4/17/2019,5/1/2019
,216,8/7/2020,8/16/2020
547,343,11/12/2023,11/16/2023
548,352,10/16/2022,10/30/2022
549,285,2/26/2019,3/8/2019
550,146,11/19/2019,
551,389,11/1/2022,11/4/2022
552,,8/18/2019,8/31/2019
553,201,10/16/2022,10/25/2022
554,368,1/23/2022,1/27/2022
555,376,3/29/2022,4/5/2022
556,233,6/9/2023,6/18/2023
557,384,8/7/2022,8/11/2022
558,8,7/29/2022,8/8/2022
559,92,1/29/2020,
560,70,1/27/2022,2/7/2022
561,135,2/18/2021,2/22/2021
562,25,9/17/2021,9/29/2021
,153,11/10/2019,11/17/2019
564,59,6/4/2020,6/9/2020
565,101,7/31/2023,8/3/2023
,406,5/4/2019,5/17/2019
567,270,1/6/2019,1/15/2019
568,89,8/4/2021,8/17/2021
569,5,12/9/2022,12/20/2022
570,314,2/4/2023,
571,244,10/29/2022,11/7/2022
572,190,7/22/2023,7/27/2023
573,278,3/3/2023,3/9/2023
,55,6/10/2021,6/20/2021
575,94,10/13/2019,10/19/2019
576,48,5/21/2023,6/1/2023
577,175,7/4/2022,7/17/2022
578,272,7/1/2022,7/15/2022
579,268,2/28/2023,3/14/2023
580,65,11/10/2020,
581,31,6/10/2021,6/20/2021
582,38,7/18/2021,7/21/2021
583,,8/21/2023,8/28/2023
,63,12/7/2020,12/19/2020
585,183,10/25/2021,10/31/2021
586,389,5/13/2020,5/27/2020
587,346,11/17/2019,11/20/2019
588,103,4/9/2022,4/21/2022
589,444,4/9/2019,4/15/2019
590,356,2/15/2021,2/26/2021
,395,3/12/2023,3/24/2023
592,88,7/18/2021,7/31/2021
593,223,4/10/2020,4/15/2020
594,173,2/4/2019,2/10/2019
595,387,9/9/2021,
596,379,4/10/2023,4/18/2023
,331,2/17/2021,2/20/2021
598,,5/4/2021,5/9/2021
,377,3/3/2023,3/10/2023
600,176,5/4/2021,5/18/2021
601,245,6/4/2019,6/14/2019
602,340,,11/20/2022
603,97,12/24/2019,1/1/2020
604,128,11/1/2019,11/4/2019
605,386,2/3/2024,2/13/2024
606,93,6/9/2022,6/13/2022
607,64,9/2/2019,9/6/2019
608,289,12/13/2022,12/21/2022
,290,1/30/2024,2/11/2024
610,391,7/16/2020,7/28/2020
611,73,6/20/2020,7/4/2020
612,97,11/21/2023,12/2/2023
613,47,2/9/2019,2/14/2019
614,216,3/19/2022,3/24/2022
615,339,,12/28/2020
616,296,1/22/2022,
617,105,4/29/2020,5/6/2020
618,341,2/25/2021,3/5/2021
619,236,1/25/2023,1/30/2023
620,326,9/16/2023,
621,381,11/9/2019,11/14/2019
622,238,4/29/2020,5/6/2020
623,256,9/2/2020,9/9/2020
624,70,1/17/2021,1/26/2021
625,377,1/3/2024,1/11/2024
626,173,10/18/2019,10/27/2019
627,92,5/25/2020,6/8/2020
628,374,1/29/2021,2/2/2021
629,170,12/9/2022,
630,204,7/22/2021,8/2/2021
631,229,3/29/2021,4/6/2021
632,40,3/15/2023,3/19/2023
633,289,5/6/2022,5/15/2022
634,235,10/22/2023,10/30/2023
635,229,10/5/2023,10/15/2023
636,305,9/11/2022,9/14/2022
,12,11/4/2023,11/7/2023
638,277,9/14/2019,9/22/2019
639,406,6/14/2022,6/28/2022
640,120,10/9/2023,10/14/2023
641,216,3/14/2019,3/27/2019
642,145,10/20/2021,10/30/2021
643,419,8/19/2022,8/25/2022
644,157,,3/9/2023
645,290,8/31/2023,9/11/2023
646,383,6/4/2020,6/16/2020
647,,5/11/2023,5/24/2023
648,95,4/18/2022,4/21/2022
649,34,11/13/2023,11/16/2023
650,216,3/29/2022,4/5/2022
651,413,4/5/2021,4/11/2021
652,272,6/4/2019,6/14/2019
653,55,1/21/2020,2/1/2020
654,206,11/6/2022,11/13/2022
655,412,9/29/2020,10/6/2020
656,307,10/21/2020,
657,3,,1/15/2023
658,408,5/20/2019,5/31/2019
659,149,1/2/2020,1/13/2020
660,33,8/4/2021,8/17/2021
661,444,8/27/2020,9/9/2020
662,,9/3/2021,9/12/2021
663,443,7/23/2020,7/29/2020
664,357,10/5/2021,10/15/2021
665,112,10/16/2022,10/25/2022
666,285,3/3/2023,3/13/2023
667,125,8/9/2022,8/16/2022
668,9,6/27/2019,7/10/2019
669,1,1/21/2024,1/24/2024
670,37,5/29/2023,6/3/2023
671,17,7/10/2020,7/23/2020
672,440,5/5/2020,5/9/2020
673,362,,5/9/2020
674,27,12/12/2020,12/18/2020
675,418,8/5/2019,8/14/2019
676,127,12/18/2021,12/23/2021
677,40,10/8/2022,10/16/2022
678,301,12/9/2021,12/18/2021
679,345,5/13/2021,5/27/2021
680,119,2/25/2021,3/5/2021
681,330,9/3/2019,9/9/2019
682,204,4/5/2022,4/8/2022
683,236,5/25/2019,5/29/2019
684,251,3/31/2019,4/12/2019
685,366,1/4/2022,1/17/2022
686,57,5/29/2023,6/3/2023
687,371,2/14/2019,2/22/2019
688,72,3/19/2020,3/22/2020
689,61,1/10/2021,1/16/2021
690,72,2/3/2022,2/7/2022
691,154,3/26/2023,4/9/2023
692,87,1/13/2023,1/18/2023
693,108,6/14/2021,6/24/2021
694,48,2/1/2022,2/6/2022
695,140,6/15/2020,6/18/2020
696,145,6/25/2020,7/4/2020
697,203,8/18/2023,8/27/2023
698,,4/23/2021,5/5/2021
699,170,5/18/2022,5/22/2022
700,17,2/5/2021,2/11/2021
701,,8/19/2022,8/25/2022
702,12,12/21/2020,1/4/2021
703,431,10/17/2023,10/23/2023
704,402,12/14/2022,12/17/2022
705,244,9/4/2022,9/17/2022
706,90,7/3/2022,7/7/2022
707,214,6/20/2020,7/4/2020
708,206,1/22/2023,2/4/2023
709,393,11/6/2022,11/13/2022
710,259,10/27/2020,11/3/2020
711,,9/26/2022,10/3/2022
712,366,,10/16/2020
713,203,10/27/2021,11/1/2021
714,256,7/11/2021,7/14/2021
715,239,,10/17/2021
716,235,8/7/2021,8/15/2021
717,17,11/9/2023,11/22/2023
718,59,2/26/2023,3/2/2023
719,202,11/26/2020,
720,403,8/22/2020,9/3/2020
,154,11/7/2022,11/14/2022
722,47,6/5/2022,6/14/2022
723,310,6/12/2020,6/26/2020
724,,8/31/2022,9/12/2022
725,36,1/9/2019,
726,41,,6/4/2021
727,305,5/3/2020,5/12/2020
728,356,11/4/2022,11/11/2022
729,99,2/18/2022,2/21/2022
730,137,3/29/2022,4/3/2022
731,294,,12/1/2021
732,419,8/24/2020,9/3/2020
733,185,,2/23/2019
734,201,6/4/2023,6/16/2023
735,119,12/15/2023,12/22/2023
736,125,12/29/2020,1/3/2021
737,409,11/12/2021,11/25/2021
738,429,9/1/2021,9/8/2021
739,90,8/31/2022,9/12/2022
740,179,6/8/2022,6/18/2022
741,450,9/29/2019,10/12/2019
742,35,5/12/2021,5/16/2021
,281,4/1/2023,4/13/2023
744,286,11/5/2021,11/10/2021
745,357,2/5/2021,2/11/2021
746,265,8/10/2019,
747,139,6/1/2023,6/5/2023
748,179,1/4/2024,1/11/2024
749,313,7/4/2020,7/10/2020
750,174,5/21/2019,6/4/2019
751,1,8/16/2019,8/30/2019
752,239,1/29/2023,2/3/2023
753,139,11/6/2022,11/13/2022
754,316,4/29/2023,5/9/2023
755,140,5/15/2021,5/23/2021
756,46,3/11/2021,3/23/2021
757,81,1/2/2022,1/15/2022
,74,3/16/2020,3/26/2020
759,76,3/12/2020,3/22/2020
,131,7/31/2023,8/3/2023
761,128,11/5/2023,11/17/2023
762,61,9/16/2023,9/21/2023
763,256,10/23/2023,
764,7,7/23/2021,8/5/2021
765,419,4/29/2023,5/5/2023
766,226,8/15/2020,8/22/2020
767,403,8/17/2020,8/31/2020
768,437,5/30/2023,6/9/2023
769,161,7/8/2023,7/15/2023
770,401,5/26/2021,6/4/2021
771,28,5/30/2023,6/7/2023
772,320,5/21/2023,5/30/2023
773,177,12/6/2021,12/10/2021
774,408,1/15/2024,1/26/2024
775,121,7/15/2021,7/23/2021
776,291,3/12/2021,3/23/2021
,264,10/15/2021,10/28/2021
778,161,11/12/2023,
779,135,2/10/2023,2/19/2023
780,24,6/26/2019,7/4/2019
781,76,3/18/2021,3/29/2021
782,195,3/10/2022,3/15/2022
783,218,1/12/2020,
784,283,12/1/2023,12/5/2023
785,8,1/7/2021,1/21/2021
786,405,8/4/2021,8/17/2021
787,74,3/27/2023,4/7/2023
788,332,1/11/2019,1/16/2019
789,149,4/4/2021,4/13/2021
790,76,5/24/2021,6/4/2021
791,112,3/19/2022,3/24/2022
792,382,10/29/2022,11/7/2022
793,390,1/25/2023,
794,388,2/20/2023,2/23/2023
795,181,10/30/2023,11/5/2023
796,121,12/8/2021,12/16/2021
797,248,7/8/2023,7/15/2023
798,14,5/28/2019,6/9/2019
799,141,10/26/2019,10/29/2019
,55,1/30/2022,2/3/2022
801,30,12/21/2019,1/4/2020
802,144,,9/17/2022
803,122,8/18/2019,8/31/2019
804,29,4/8/2020,4/20/2020
805,170,6/1/2019,6/11/2019
