ruid,rid,startdate,enddate
141,66,2021-02-15,2021-02-26
143,312,2022-05-10,2022-05-24
144,24,2020-01-02,2020-01-13
145,115,2022-09-14,2022-09-22
146,212,2022-04-04,2022-04-14
147,294,2022-09-08,2022-09-11
148,211,2023-04-29,2023-05-05
149,103,2021-07-17,2021-07-27
150,204,2019-05-15,2019-05-23
151,356,2023-03-18,2023-03-28
152,336,2020-08-10,2020-08-13
153,225,2022-12-25,2023-01-04
155,419,2019-09-28,2019-10-05
156,397,2023-06-30,2023-07-07
157,177,2022-05-17,2022-05-21
159,253,2021-07-12,2021-07-22
160,376,2022-09-26,2022-10-03
161,199,2021-03-25,2021-04-02
162,104,2020-08-27,2020-09-09
163,147,2019-03-07,2019-03-12
165,368,2022-12-22,2022-12-29
166,30,2023-10-18,2023-10-23
167,288,2020-07-05,2020-07-09
168,92,2020-06-13,2020-06-27
170,404,2022-10-16,2022-10-25
171,89,2021-02-10,2021-02-17
172,416,2020-10-28,2020-11-09
174,427,2022-04-09,2022-04-21
175,395,2019-03-31,2019-04-12
176,209,2023-05-13,2023-05-19
178,270,2022-08-29,2022-09-10
179,158,2022-09-21,2022-09-24
180,125,2023-09-17,2023-09-20
181,405,2019-11-12,2019-11-24
183,386,2019-05-15,2019-05-23
184,303,2023-05-30,2023-06-09
185,7,2024-01-16,2024-01-20
186,112,2023-02-28,2023-03-14
187,300,2022-08-08,2022-08-15
188,325,2019-02-28,2019-03-03
189,209,2019-12-30,2020-01-09
190,124,2023-04-25,2023-05-08
191,159,2021-05-07,2021-05-15
192,17,2022-02-24,2022-03-10
193,398,2019-08-16,2019-08-21
194,177,2019-01-22,2019-01-28
195,408,2019-01-27,2019-02-04
196,148,2021-04-11,2021-04-14
197,123,2020-12-19,2020-12-25
198,176,2021-01-10,2021-01-16
199,105,2022-03-25,2022-04-08
200,367,2023-03-14,2023-03-17
201,102,2023-10-17,2023-10-20
202,439,2022-02-28,2022-03-10
203,345,2021-10-30,2021-11-10
206,272,2019-08-16,2019-08-30
208,145,2022-03-10,2022-03-15
210,344,2024-01-07,2024-01-14
211,293,2019-08-16,2019-08-27
212,384,2020-06-25,2020-07-04
213,171,2023-01-03,2023-01-12
214,89,2019-05-16,2019-05-24
215,176,2020-02-25,2020-03-06
216,307,2022-11-23,2022-12-02
217,312,2019-10-06,2019-10-17
218,413,2020-09-20,2020-09-29
219,98,2019-06-13,2019-06-26
220,441,2021-06-22,2021-07-06
221,193,2023-08-31,2023-09-09
223,441,2019-02-07,2019-02-20
224,237,2021-09-30,2021-10-03
225,214,2022-08-04,2022-08-08
226,361,2021-11-26,2021-11-29
229,373,2021-10-17,2021-10-20
231,79,2020-06-28,2020-07-07
232,16,2020-08-09,2020-08-17
233,48,2021-12-28,2022-01-06
234,171,2019-09-05,2019-09-18
235,115,2022-02-22,2022-02-27
237,382,2019-07-20,2019-07-31
238,74,2019-06-26,2019-07-08
239,387,2021-06-23,2021-06-28
240,46,2023-07-15,2023-07-18
241,74,2021-11-05,2021-11-11
242,347,2020-07-03,2020-07-17
243,255,2021-07-21,2021-07-24
244,351,2021-09-03,2021-09-12
245,117,2020-07-01,2020-07-04
246,90,2020-05-25,2020-06-01
247,251,2023-12-05,2023-12-11
248,131,2020-06-14,2020-06-17
249,357,2021-11-05,2021-11-15
250,415,2021-09-14,2021-09-24
251,275,2021-06-03,2021-06-17
253,418,2020-10-12,2020-10-16
254,133,2023-05-21,2023-05-30
255,420,2019-05-25,2019-05-29
258,395,2024-01-28,2024-02-02
259,245,2021-01-02,2021-01-09
260,319,2024-01-15,2024-01-19
262,261,2020-07-15,2020-07-29
264,143,2023-09-13,2023-09-26
265,122,2021-02-19,2021-02-25
267,292,2020-02-20,2020-03-02
268,91,2021-07-01,2021-07-10
269,285,2019-11-12,2019-11-24
270,50,2022-04-24,2022-05-02
271,161,2023-01-22,2023-02-04
272,236,2021-11-09,2021-11-12
273,102,2020-03-16,2020-03-26
276,190,2022-01-28,2022-02-06
277,191,2023-01-23,2023-02-02
278,436,2022-09-30,2022-10-13
279,147,2023-10-18,2023-10-23
280,197,2022-12-14,2022-12-17
281,396,2023-09-24,2023-09-28
282,423,2020-09-09,2020-09-19
283,130,2021-12-01,2021-12-10
284,2,2023-03-17,2023-03-30
285,450,2021-11-25,2021-12-01
286,213,2023-08-20,2023-08-27
287,390,2022-06-12,2022-06-16
289,211,2019-10-26,2019-10-29
290,315,2023-11-09,2023-11-22
291,417,2022-01-15,2022-01-24
292,318,2019-07-01,2019-07-11
293,415,2021-03-12,2021-03-15
294,22,2023-07-03,2023-07-15
295,385,2022-02-01,2022-02-06
297,107,2022-05-24,2022-05-29
298,128,2019-04-28,2019-05-06
299,225,2020-10-28,2020-11-09
300,396,2024-02-07,2024-02-21
301,113,2019-12-26,2019-12-29
302,41,2019-09-05,2019-09-18
303,184,2023-11-18,2023-11-30
304,418,2020-10-19,2020-11-01
305,137,2022-07-21,2022-08-04
306,96,2023-12-14,2023-12-17
307,96,2021-01-17,2021-01-22
309,267,2023-08-18,2023-08-27
310,410,2019-05-17,2019-05-20
312,218,2019-11-17,2019-11-20
313,45,2021-03-14,2021-03-24
314,10,2019-05-20,2019-05-23
315,64,2020-07-31,2020-08-12
316,317,2019-10-13,2019-10-22
317,331,2021-08-04,2021-08-17
318,107,2022-05-04,2022-05-18
320,334,2024-01-02,2024-01-08
321,444,2020-01-29,2020-02-06
322,440,2019-10-11,2019-10-24
323,287,2023-01-25,2023-01-30
324,187,2020-11-09,2020-11-12
326,340,2019-08-30,2019-09-12
327,334,2019-11-01,2019-11-04
328,94,2022-12-10,2022-12-19
329,133,2020-05-10,2020-05-21
330,405,2019-05-24,2019-05-30
331,368,2021-03-07,2021-03-18
332,222,2022-03-29,2022-04-01
333,360,2022-09-05,2022-09-12
335,26,2019-07-10,2019-07-19
336,412,2024-01-27,2024-02-02
338,226,2020-03-23,2020-03-27
339,271,2019-07-31,2019-08-08
340,449,2020-06-04,2020-06-16
341,69,2023-05-20,2023-05-29
342,207,2021-12-03,2021-12-17
343,309,2020-05-18,2020-05-22
344,40,2021-08-29,2021-09-09
345,11,2023-09-07,2023-09-13
347,384,2021-07-15,2021-07-27
348,313,2021-04-17,2021-05-01
349,98,2019-03-24,2019-04-03
351,388,2020-06-30,2020-07-12
352,133,2022-04-07,2022-04-14
353,360,2021-03-30,2021-04-06
354,223,2020-05-02,2020-05-10
356,386,2020-09-14,2020-09-21
357,1,2021-02-27,2021-03-03
359,384,2022-12-22,2022-12-29
360,191,2020-05-25,2020-06-01
361,169,2024-02-03,2024-02-10
363,393,2022-02-14,2022-02-19
364,151,2019-03-14,2019-03-27
365,422,2022-07-08,2022-07-12
366,99,2022-12-03,2022-12-12
367,140,2022-11-23,2022-12-02
371,330,2021-03-13,2021-03-18
372,379,2022-11-29,2022-12-13
373,86,2023-09-30,2023-10-13
374,39,2022-02-18,2022-02-21
375,276,2020-06-11,2020-06-17
376,177,2020-11-19,2020-11-23
377,380,2021-12-22,2021-12-28
378,360,2019-07-27,2019-08-10
379,433,2022-02-09,2022-02-12
380,219,2019-01-27,2019-02-04
381,47,2022-09-21,2022-09-28
382,341,2019-10-03,2019-10-09
383,65,2020-11-29,2020-12-06
384,427,2023-01-08,2023-01-20
385,366,2019-10-19,2019-10-24
386,241,2019-08-24,2019-08-28
387,161,2022-04-24,2022-05-07
389,13,2021-05-22,2021-06-04
390,412,2023-07-22,2023-07-27
391,1,2022-09-10,2022-09-15
392,354,2020-02-15,2020-02-18
394,253,2020-08-24,2020-09-03
395,309,2021-03-22,2021-03-31
396,270,2019-01-15,2019-01-22
397,6,2020-02-07,2020-02-12
398,91,2020-06-14,2020-06-26
401,126,2020-04-13,2020-04-20
402,19,2022-02-09,2022-02-12
404,356,2020-01-06,2020-01-10
405,13,2019-10-19,2019-10-22
406,116,2021-09-01,2021-09-08
407,55,2022-02-09,2022-02-18
409,381,2019-01-15,2019-01-20
410,245,2020-09-03,2020-09-09
411,384,2022-07-11,2022-07-24
412,118,2022-07-14,2022-07-24
413,415,2021-05-04,2021-05-18
414,399,2019-12-09,2019-12-13
415,163,2019-05-16,2019-05-24
417,177,2024-01-17,2024-01-25
419,145,2022-02-13,2022-02-16
420,383,2021-05-12,2021-05-21
421,324,2023-08-20,2023-08-29
422,50,2022-05-02,2022-05-11
423,190,2021-02-10,2021-02-17
424,393,2021-05-12,2021-05-21
426,65,2021-04-19,2021-04-22
427,275,2019-02-02,2019-02-13
428,397,2019-09-29,2019-10-12
430,143,2021-11-05,2021-11-10
432,59,2020-06-30,2020-07-11
433,432,2019-06-21,2019-06-27
434,285,2021-11-12,2021-11-26
435,280,2019-01-11,2019-01-16
436,226,2021-02-15,2021-02-26
438,368,2019-09-16,2019-09-25
440,422,2021-02-05,2021-02-11
441,43,2019-10-01,2019-10-06
442,297,2021-09-17,2021-09-28
445,359,2019-02-26,2019-03-08
446,80,2022-09-30,2022-10-13
447,119,2021-09-03,2021-09-15
448,149,2023-05-02,2023-05-16
450,246,2022-02-21,2022-03-02
451,154,2020-09-02,2020-09-09
452,283,2020-02-15,2020-02-18
453,203,2023-06-01,2023-06-05
454,386,2023-08-18,2023-08-27
457,316,2022-04-04,2022-04-14
459,31,2023-06-18,2023-06-30
460,296,2019-03-25,2019-04-04
461,388,2020-03-26,2020-04-09
463,93,2021-10-05,2021-10-15
464,61,2023-04-24,2023-05-03
467,69,2020-12-19,2020-12-25
468,425,2023-03-14,2023-03-17
469,253,2020-04-01,2020-04-04
470,134,2020-06-19,2020-07-03
471,401,2019-11-27,2019-12-04
472,243,2023-03-18,2023-03-22
473,378,2021-07-23,2021-07-28
474,251,2022-04-18,2022-04-21
475,193,2020-11-02,2020-11-08
476,397,2022-12-28,2023-01-10
477,376,2023-02-27,2023-03-12
479,425,2020-02-03,2020-02-08
480,372,2023-09-30,2023-10-12
481,301,2021-07-25,2021-07-30
482,146,2020-09-03,2020-09-16
484,225,2019-02-26,2019-03-10
485,155,2019-11-28,2019-12-07
486,149,2023-03-19,2023-04-02
487,375,2020-01-27,2020-01-30
488,230,2023-02-22,2023-02-27
489,243,2020-06-19,2020-06-23
490,371,2019-08-08,2019-08-12
491,144,2019-03-07,2019-03-12
492,20,2022-08-17,2022-08-22
494,400,2021-06-23,2021-06-28
495,294,2020-07-27,2020-08-03
496,94,2023-11-10,2023-11-14
497,256,2019-05-16,2019-05-30
498,123,2023-10-01,2023-10-05
499,443,2020-04-18,2020-04-26
500,143,2021-03-02,2021-03-06
501,338,2022-05-04,2022-05-18
502,338,2024-02-03,2024-02-15
504,378,2020-01-23,2020-01-30
505,354,2021-03-12,2021-03-23
506,302,2020-04-28,2020-05-03
507,396,2023-03-11,2023-03-22
508,216,2022-10-08,2022-10-11
510,298,2019-08-30,2019-09-12
511,1,2020-03-12,2020-03-22
512,192,2019-09-06,2019-09-14
513,132,2021-06-17,2021-06-28
515,56,2021-09-10,2021-09-15
516,227,2020-09-02,2020-09-09
517,145,2019-03-07,2019-03-17
519,419,2024-01-04,2024-01-11
520,369,2020-08-17,2020-08-31
521,139,2019-04-10,2019-04-16
523,281,2022-06-08,2022-06-18
524,415,2022-11-30,2022-12-09
525,240,2022-09-14,2022-09-22
527,414,2022-02-15,2022-03-01
528,188,2019-12-21,2019-12-24
529,360,2019-06-26,2019-07-08
530,51,2019-08-16,2019-08-24
531,73,2021-01-02,2021-01-09
532,344,2019-09-10,2019-09-18
533,112,2023-01-25,2023-02-05
535,218,2019-12-14,2019-12-18
536,58,2022-01-20,2022-01-28
537,341,2021-03-07,2021-03-18
538,219,2023-12-19,2023-12-22
539,369,2019-02-02,2019-02-13
541,279,2022-01-29,2022-02-11
542,337,2021-04-29,2021-05-06
543,181,2022-08-12,2022-08-23
544,270,2022-11-27,2022-12-07
545,397,2019-04-17,2019-05-01
547,343,2023-11-12,2023-11-16
548,352,2022-10-16,2022-10-30
549,285,2019-02-26,2019-03-08
551,389,2022-11-01,2022-11-04
553,201,2022-11-16,2022-11-25
554,368,2022-01-23,2022-01-27
555,376,2022-03-29,2022-04-05
556,233,2023-06-09,2023-06-18
557,384,2022-08-07,2022-08-11
558,8,2022-07-29,2022-08-08
560,70,2022-01-27,2022-02-07
561,135,2021-02-18,2021-02-22
562,25,2021-09-17,2021-09-29
564,59,2020-06-04,2020-06-09
565,101,2023-07-31,2023-08-03
567,270,2019-01-06,2019-01-15
568,89,2021-08-04,2021-08-17
569,5,2022-12-09,2022-12-20
571,244,2022-10-29,2022-11-07
572,190,2023-07-22,2023-07-27
573,278,2023-03-03,2023-03-09
575,94,2019-11-13,2019-11-19
576,48,2023-05-21,2023-06-01
577,175,2022-07-04,2022-07-17
578,272,2022-07-01,2022-07-15
579,268,2023-02-28,2023-03-14
581,31,2021-06-10,2021-06-20
582,38,2021-07-18,2021-07-21
585,183,2021-10-25,2021-10-31
586,389,2020-05-13,2020-05-27
587,346,2019-11-17,2019-11-20
588,103,2022-04-09,2022-04-21
589,444,2019-05-09,2019-05-15
590,356,2021-02-15,2021-02-26
592,88,2021-07-18,2021-07-31
593,223,2020-04-10,2020-04-15
594,173,2019-02-04,2019-02-10
596,379,2023-04-10,2023-04-18
600,176,2021-05-04,2021-05-18
601,245,2019-06-04,2019-06-14
603,97,2019-12-24,2020-01-01
604,128,2019-11-01,2019-11-04
605,386,2024-02-03,2024-02-13
606,93,2022-06-09,2022-06-13
607,64,2019-09-02,2019-09-06
608,289,2022-12-13,2022-12-21
610,391,2020-07-16,2020-07-28
611,73,2020-06-20,2020-07-04
612,97,2023-11-21,2023-12-02
613,47,2019-02-09,2019-02-14
614,216,2022-03-19,2022-03-24
617,105,2020-04-29,2020-05-06
618,341,2021-02-25,2021-03-05
619,236,2023-01-25,2023-01-30
621,381,2019-11-09,2019-11-14
622,238,2020-04-29,2020-05-06
623,256,2020-09-02,2020-09-09
624,70,2021-01-17,2021-01-26
625,377,2024-01-03,2024-01-11
626,173,2019-10-18,2019-10-27
627,92,2020-05-25,2020-06-08
628,374,2021-01-29,2021-02-02
630,204,2021-07-22,2021-08-02
631,229,2021-04-29,2021-05-06
632,40,2023-03-15,2023-03-19
633,289,2022-05-06,2022-05-15
634,235,2023-10-22,2023-10-30
635,229,2023-10-05,2023-10-15
636,305,2022-10-11,2022-10-14
638,277,2019-10-14,2019-10-22
639,406,2022-07-14,2022-07-28
640,120,2023-10-09,2023-10-14
641,216,2019-03-14,2019-03-27
642,145,2021-10-20,2021-10-30
643,419,2022-08-19,2022-08-25
645,290,2023-10-01,2023-10-11
646,383,2020-06-04,2020-06-16
648,95,2022-04-18,2022-04-21
649,34,2023-11-13,2023-11-16
650,216,2022-03-29,2022-04-05
651,413,2021-04-05,2021-04-11
652,272,2019-06-04,2019-06-14
653,55,2020-01-21,2020-02-01
654,206,2022-11-06,2022-11-13
655,412,2020-09-29,2020-10-06
658,408,2019-05-20,2019-05-31
659,149,2020-01-02,2020-01-13
660,33,2021-08-04,2021-08-17
661,444,2020-08-27,2020-09-09
663,443,2020-07-23,2020-07-29
664,357,2021-10-05,2021-10-15
665,112,2022-10-16,2022-10-25
666,285,2023-03-03,2023-03-13
667,125,2022-08-09,2022-08-16
668,9,2019-06-27,2019-07-10
669,1,2024-01-21,2024-01-24
670,37,2023-05-29,2023-06-03
671,17,2020-08-10,2020-08-23
672,440,2020-05-05,2020-05-09
674,27,2020-12-12,2020-12-18
675,418,2019-08-05,2019-08-14
676,127,2021-12-18,2021-12-23
677,40,2022-10-08,2022-10-16
678,301,2021-12-09,2021-12-18
679,345,2021-05-13,2021-05-27
680,119,2021-02-25,2021-03-05
681,330,2019-09-03,2019-09-09
682,204,2022-04-05,2022-04-08
683,236,2019-05-25,2019-05-29
684,251,2019-03-31,2019-04-12
685,366,2022-01-04,2022-01-17
686,57,2023-05-29,2023-06-03
687,371,2019-02-14,2019-02-22
688,72,2020-03-19,2020-03-22
689,61,2021-01-10,2021-01-16
690,72,2022-02-03,2022-02-07
691,154,2023-03-26,2023-04-09
692,87,2023-01-13,2023-01-18
693,108,2021-06-14,2021-06-24
694,48,2022-02-01,2022-02-06
695,140,2020-06-15,2020-06-18
696,145,2020-06-25,2020-07-04
697,203,2023-08-18,2023-08-27
699,170,2022-06-18,2022-06-22
700,17,2021-02-05,2021-02-11
702,12,2020-12-21,2021-01-04
703,431,2023-11-17,2023-11-23
704,402,2022-12-14,2022-12-17
705,244,2022-09-04,2022-09-17
706,90,2022-07-03,2022-07-07
707,214,2020-06-20,2020-07-04
708,206,2023-01-22,2023-02-04
709,393,2022-11-06,2022-11-13
710,259,2020-10-27,2020-11-03
713,203,2021-10-27,2021-11-01
714,256,2021-07-11,2021-07-14
716,235,2021-08-07,2021-08-15
717,17,2023-12-09,2023-12-22
718,59,2023-03-26,2023-04-02
720,403,2020-09-22,2020-10-03
722,47,2022-06-05,2022-06-14
723,310,2020-06-12,2020-06-26
727,305,2020-05-03,2020-05-12
728,356,2022-11-04,2022-11-11
729,99,2022-02-18,2022-02-21
730,137,2022-03-29,2022-04-03
732,419,2020-08-24,2020-09-03
734,201,2023-06-04,2023-06-16
735,119,2024-01-15,2024-01-22
736,125,2020-12-29,2021-01-03
737,409,2021-11-12,2021-11-25
738,429,2021-09-01,2021-09-08
739,90,2022-08-31,2022-09-12
740,179,2022-06-08,2022-06-18
741,450,2019-09-29,2019-10-12
742,35,2021-05-12,2021-05-16
744,286,2021-11-05,2021-11-10
745,357,2021-02-05,2021-02-11
747,139,2023-06-01,2023-06-05
748,179,2024-01-04,2024-01-11
749,313,2020-07-04,2020-07-10
750,174,2019-05-21,2019-06-04
751,1,2019-09-16,2019-09-30
752,239,2023-01-29,2023-02-03
753,139,2022-11-06,2022-11-13
754,316,2023-04-29,2023-05-09
755,140,2021-05-15,2021-05-23
756,46,2021-03-11,2021-03-23
757,81,2022-01-02,2022-01-15
759,76,2020-03-12,2020-03-22
761,128,2023-11-05,2023-11-17
762,61,2023-09-16,2023-09-21
764,7,2021-07-23,2021-08-05
765,419,2023-04-29,2023-05-05
766,226,2020-08-15,2020-08-22
767,403,2020-08-17,2020-08-31
768,437,2023-05-30,2023-06-09
769,161,2023-07-08,2023-07-15
770,401,2021-05-26,2021-06-04
771,28,2023-05-30,2023-06-07
772,320,2023-05-21,2023-05-30
773,177,2022-01-06,2022-01-10
774,408,2024-01-15,2024-01-26
775,121,2021-08-15,2021-08-23
776,291,2021-03-12,2021-03-23
779,135,2023-02-10,2023-02-19
780,24,2019-06-26,2019-07-04
781,76,2021-03-18,2021-03-29
782,195,2022-03-10,2022-03-15
784,283,2023-12-01,2023-12-05
785,8,2021-01-07,2021-01-21
786,405,2021-08-04,2021-08-17
787,74,2023-03-27,2023-04-07
788,332,2019-01-11,2019-01-16
789,149,2021-04-04,2021-04-13
790,76,2021-05-24,2021-06-04
791,112,2022-03-19,2022-03-24
792,382,2022-10-29,2022-11-07
794,388,2023-02-20,2023-02-23
795,181,2023-10-30,2023-11-05
796,121,2021-12-08,2021-12-16
797,248,2023-08-08,2023-08-15
798,14,2019-05-28,2019-06-09
799,141,2019-10-26,2019-10-29
801,30,2019-12-21,2020-01-04
803,122,2019-08-18,2019-08-31
804,29,2020-04-08,2020-04-20
805,170,2019-06-01,2019-06-11
806,147,2023-06-26,2023-07-03
809,253,2021-03-13,2021-03-18
810,276,2023-04-13,2023-04-21
811,230,2023-05-30,2023-06-09
812,21,2019-06-25,2019-07-02
813,39,2022-12-11,2022-12-18
815,118,2023-07-24,2023-08-07
816,379,2020-08-25,2020-09-01
817,372,2023-12-05,2023-12-11
818,26,2022-11-27,2022-12-11
819,138,2019-02-16,2019-02-26
820,442,2019-12-23,2020-01-05
821,4,2020-09-11,2020-09-18
822,440,2020-09-29,2020-10-10
823,290,2022-06-12,2022-06-16
824,418,2020-01-02,2020-01-13
825,431,2021-05-18,2021-05-25
826,365,2021-08-27,2021-09-01
827,380,2021-10-12,2021-10-18
828,54,2019-06-11,2019-06-23
829,189,2019-02-20,2019-02-23
830,75,2019-08-03,2019-08-14
831,200,2022-06-15,2022-06-24
833,214,2019-02-02,2019-02-07
834,366,2022-09-13,2022-09-19
835,262,2021-02-27,2021-03-06
836,42,2020-08-30,2020-09-10
837,303,2019-12-21,2020-01-04
838,358,2020-07-16,2020-07-28
839,192,2023-06-16,2023-06-22
841,275,2023-12-13,2023-12-23
842,425,2019-03-24,2019-04-03
843,104,2023-09-30,2023-10-12
844,138,2021-10-15,2021-10-28
845,239,2023-05-25,2023-06-01
846,434,2022-02-17,2022-02-22
847,305,2019-12-27,2020-01-10
848,312,2021-09-17,2021-09-29
849,23,2019-08-10,2019-08-22
850,408,2020-07-10,2020-07-23
851,342,2021-06-29,2021-07-10
853,34,2022-10-29,2022-11-08
854,55,2023-07-15,2023-07-18
856,310,2020-02-20,2020-03-02
857,445,2021-04-05,2021-04-10
859,268,2022-07-21,2022-07-24
860,132,2021-01-24,2021-02-03
861,336,2020-01-19,2020-02-01
862,318,2020-07-28,2020-08-02
863,92,2022-10-21,2022-11-04
864,290,2023-05-04,2023-05-16
865,288,2023-09-07,2023-09-13
866,196,2019-09-17,2019-09-26
867,81,2024-02-05,2024-02-16
868,401,2020-06-19,2020-07-03
869,276,2021-12-18,2021-12-23
871,349,2021-07-17,2021-07-27
873,207,2021-10-22,2021-10-26
875,54,2021-09-15,2021-09-19
876,247,2019-05-22,2019-05-25
877,214,2019-04-14,2019-04-24
879,257,2023-10-11,2023-10-19
880,83,2019-05-26,2019-06-04
881,82,2022-11-24,2022-12-07
882,55,2022-03-29,2022-04-01
883,415,2022-02-01,2022-02-09
884,179,2021-05-30,2021-06-12
885,267,2020-07-06,2020-07-12
886,192,2020-09-04,2020-09-09
887,368,2023-05-11,2023-05-25
888,416,2022-10-05,2022-10-11
889,325,2021-06-10,2021-06-13
890,81,2019-02-06,2019-02-09
891,280,2020-06-19,2020-07-03
894,224,2021-05-04,2021-05-18
895,77,2021-12-18,2021-12-23
896,39,2023-04-07,2023-04-13
897,67,2023-02-10,2023-02-19
898,14,2020-07-12,2020-07-23
899,206,2022-05-03,2022-05-17
900,433,2019-06-07,2019-06-13
901,402,2022-06-27,2022-07-07
902,56,2019-06-26,2019-07-08
903,1,2019-08-13,2019-08-26
904,433,2019-04-14,2019-04-24
905,359,2021-09-27,2021-10-10
906,147,2019-07-29,2019-08-03
907,104,2023-05-13,2023-05-19
908,365,2022-02-18,2022-02-21
909,329,2019-09-03,2019-09-09
910,241,2021-07-11,2021-07-22
911,308,2021-03-14,2021-03-25
912,258,2019-03-14,2019-03-27
913,1,2020-02-22,2020-03-07
914,22,2019-02-09,2019-02-14
915,269,2019-05-16,2019-05-30
916,69,2021-08-12,2021-08-19
917,90,2020-04-08,2020-04-20
918,64,2021-03-13,2021-03-17
919,78,2019-05-10,2019-05-24
920,68,2022-05-04,2022-05-12
923,73,2019-02-14,2019-02-26
924,346,2019-07-31,2019-08-08
925,76,2023-06-01,2023-06-05
926,351,2020-10-12,2020-10-16
927,312,2022-06-07,2022-06-20
928,44,2020-11-25,2020-12-09
929,157,2022-12-26,2023-01-07
930,356,2023-12-17,2023-12-25
931,129,2020-04-04,2020-04-12
932,31,2022-01-01,2022-01-11
933,229,2022-01-30,2022-02-03
934,255,2020-07-31,2020-08-03
935,245,2022-11-21,2022-11-24
936,342,2022-12-20,2022-12-27
937,372,2022-10-05,2022-10-12
938,68,2022-11-27,2022-12-11
939,431,2023-09-06,2023-09-17
940,47,2020-12-30,2021-01-09
941,9,2021-01-22,2021-01-28
942,63,2019-06-13,2019-06-26
943,140,2020-11-20,2020-12-04
